date,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20180409,0.004829125,-0.004887837,-0.009157197,-0.01568417,0.00031352,0.00268047,0.003791515,0.002366622
20180410,0.0068792,-0.001286741,-0.006207645,-0.012904894,0.000147501,0.002497234,0.003822124,0.002494918
20180411,0.001225589,-0.003093455,-0.008501768,-0.015398303,-3.69E-05,0.002189417,0.003717042,0.002482681
20180412,0.000181776,-0.00269914,-0.008705349,-0.015873773,0.000258072,0.002325136,0.0039834,0.002885133
20180413,0.003148716,0.003143793,-0.00323993,-0.010834352,0.000405508,0.002289893,0.004128753,0.003124657
20180414,0.003148716,0.003143793,-0.00323993,-0.010834352,0.000405508,0.002289893,0.004128753,0.003124657
20180415,0.003148716,0.003143793,-0.00323993,-0.010834352,0.000405508,0.002289893,0.004128753,0.003124657
20180416,0.003038308,0.004492529,-0.001866111,-0.009752787,0.000387015,0.002157734,0.004180037,0.003260956
20180417,0.001272322,0.003623238,-0.002958287,-0.011131283,-0.000598996,0.000883676,0.0030684,0.002208262
20180418,0.009022679,0.014446969,0.007966578,-0.000533397,-0.000276459,0.000989594,0.003340306,0.002529774
20180419,0.007953866,0.017156801,0.010563645,0.001954631,-0.000682065,0.000212183,0.002681957,0.001930254
20180420,0.002264932,0.011926368,0.007003448,-0.001968495,-0.000442527,0.000142983,0.002634822,0.001912122
20180421,0.002264932,0.011926368,0.007003448,-0.001968495,-0.000442527,0.000142983,0.002634822,0.001912122
20180422,0.002264932,0.011926368,0.007003448,-0.001968495,-0.000442527,0.000142983,0.002634822,0.001912122
20180423,2.10E-05,0.010254845,0.006536539,-0.002787783,-0.00080242,-0.000696427,0.001800902,0.001107747
20180424,-0.004843093,0.005935609,0.003147569,-0.006680286,-7.38E-05,-0.000163711,0.002399545,0.001740721
20180425,-0.008537999,-0.000924478,-0.002240531,-0.012612391,-0.000738178,-0.001175955,0.001333786,0.000723086
20180426,0.003174434,0.009213214,0.009531338,-0.001523119,4.61E-05,-0.000544135,0.001951604,0.001404187
20180427,0.00865227,0.015082429,0.016886526,0.005418884,0.001097978,0.000546381,0.003043799,0.002591182
20180428,0.00865227,0.015082429,0.016886526,0.005418884,0.001097978,0.000546381,0.003043799,0.002591182
20180429,0.00865227,0.015082429,0.016886526,0.005418884,0.001097978,0.000546381,0.003043799,0.002591182
20180430,0.014563117,0.022957923,0.026618828,0.014834162,0.000461233,5.53E-05,0.002535881,0.002165715
20180501,0.014563117,0.022957923,0.026618828,0.014834162,0.000461233,5.53E-05,0.002535881,0.002165715
20180502,0.007252923,0.017677318,0.023069366,0.011041416,-3.69E-05,-0.000474867,0.001948747,0.001652095
20180503,-0.003208471,0.008598172,0.015836383,0.003829327,-0.000525748,-0.000820662,0.001497255,0.00128518
20180504,-0.012447449,-0.00237497,0.005478435,-0.006307402,-0.001060886,-0.001420153,0.000754752,0.000598317
20180505,-0.012447449,-0.00237497,0.005478435,-0.006307402,-0.001060886,-0.001420153,0.000754752,0.000598317
20180506,-0.012447449,-0.00237497,0.005478435,-0.006307402,-0.001060886,-0.001420153,0.000754752,0.000598317
20180507,-0.012447449,-0.00237497,0.005478435,-0.006307402,-0.001060886,-0.001420153,0.000754752,0.000598317
20180508,-0.013718797,-0.007471259,0.000775988,-0.010642921,-0.001587712,-0.002414184,-0.000435892,-0.000537879
20180509,-0.010376564,-0.009831279,-0.001927905,-0.012668545,-0.000415551,-0.001522,0.000307268,0.00025951
20180510,0.001155457,-0.001926788,0.005926063,-0.004294278,0.000646472,-0.000488916,0.001216676,0.001222073
20180511,0.007441629,0.002881281,0.010674012,0.001345943,0.000591082,-0.000514319,0.001070309,0.001123885
20180512,0.007441629,0.002881281,0.010674012,0.001345943,0.000591082,-0.000514319,0.001070309,0.001123885
20180513,0.007441629,0.002881281,0.010674012,0.001345943,0.000591082,-0.000514319,0.001070309,0.001123885
20180514,0.005586566,0.001556716,0.009398799,0.000841415,-6.47E-05,-0.001086427,0.000331858,0.000421983
20180515,-0.002256386,-0.005619949,0.001805079,-0.006005098,-0.000221619,-0.000911241,0.000334923,0.000475889
20180516,-0.003018703,-0.005149107,0.002068129,-0.005238995,-0.000193904,-0.000687558,0.000403438,0.000572918
20180517,-0.006361718,-0.009641098,-0.002601893,-0.009572697,0.000526301,9.23E-05,0.001091691,0.00131525
20180518,-2.61E-05,-0.004317165,0.002058115,-0.004402576,0.001153935,0.000939101,0.001855288,0.002142277
