날짜,시간,index,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,누적체결매수수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율,거래성립률
20221129,1251,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1250,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1249,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1248,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1247,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1246,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1245,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1244,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1243,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1242,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1241,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1240,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1239,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1238,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1237,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1236,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1235,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1234,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1233,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1232,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1231,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1230,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1229,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1228,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1227,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1226,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1225,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1224,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1223,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1222,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1221,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1220,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1219,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1218,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1217,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1216,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1215,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1214,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1213,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1212,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1211,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1210,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1209,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1208,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1207,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1206,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1205,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1204,,,,,,,,,,,,,,,,,,,,,,,,,
20221129,1203,,,,,,,,,,,,,,,,,,,,,,,,,
